Timestamp,TotalPower(mW),S6M_LLDO1,L7S_SENSORS,S10M_VDD_TPU,S6S_LLDO2,S8M_LLDO2,S5M_VDD_INT,S3M_VDD_CPUCL1,VSYS_PWR_CAM,S2M_VDD_CPUCL2,S1M_VDD_MIF,S4M_VDD_CPUCL0,VSYS_PWR_WLAN_BT,VSYS_PWR_RFFE,VSYS_PWR_MODEM,VSYS_PWR_MMWAVE,S7S_MLDO,S8S_VDD_G3D_L2,S5S_VDDQ_MEM,S1S_VDD_CAM,S2S_VDD_G3D,S9S_VDD_AOC,S4S_VDD2H_MEM,L15M_VDD_SLC_M,VSYS_PWR_DISPLAY
2024-07-03 11:21:45.306,582.46,37.39,1.16,0.0,10.69,41.51,17.56,0.6,0.05,0.25,16.8,18.35,1.06,33.22,297.01,12.18,56.17,0.0,1.52,1.79,0.0,3.39,13.4,17.07,1.27
2024-07-03 11:22:45.330,570.98,37.55,1.19,0.0,10.78,41.2,17.83,1.35,0.08,0.14,17.52,20.36,1.24,36.15,276.54,12.27,58.17,0.0,1.33,1.71,0.0,3.54,13.79,17.08,1.15
2024-07-03 11:23:45.368,678.93,37.41,1.18,0.0,10.71,42.85,17.58,0.74,0.06,0.09,16.92,18.63,1.05,40.57,383.84,12.14,56.83,0.0,1.26,1.67,0.0,3.62,13.26,16.95,1.56
2024-07-03 11:24:45.381,1290.1,47.66,2.2,0.0,22.89,44.16,23.86,26.29,1.63,33.45,37.97,86.69,10.34,69.78,610.09,11.99,92.77,1.22,4.44,6.22,11.03,6.1,31.03,18.65,89.64
2024-07-03 11:25:45.414,1285.58,50.82,2.95,0.0,30.44,46.76,27.97,17.74,2.55,17.32,40.15,85.22,17.2,43.25,520.59,11.84,123.46,2.61,4.81,11.12,19.93,7.61,37.35,19.79,144.12
2024-07-03 11:26:45.438,981.66,45.03,2.88,0.0,31.99,46.01,24.72,12.08,1.23,3.37,29.31,56.11,16.91,35.46,368.61,11.85,111.19,0.41,3.33,2.7,2.18,6.91,23.23,18.87,127.26
2024-07-03 11:27:45.466,758.81,43.11,2.85,0.0,26.31,45.11,23.82,3.43,0.33,1.09,25.09,47.53,4.01,33.05,335.21,12.11,105.46,0.0,2.49,1.79,0.0,6.49,19.89,18.33,1.31
2024-07-03 11:28:45.482,749.5,43.38,2.82,0.0,27.07,44.65,23.72,3.97,0.06,1.13,26.85,52.71,8.44,29.27,317.83,12.11,104.48,0.01,2.98,1.75,0.05,6.21,20.53,18.18,1.31
2024-07-03 11:29:45.514,761.63,42.81,2.86,0.0,27.26,44.55,23.49,3.78,0.05,1.14,24.97,46.27,8.47,34.42,336.22,12.06,104.35,0.0,2.25,1.76,0.0,6.48,19.16,18.11,1.15
2024-07-03 11:30:45.545,729.57,42.53,2.87,0.0,25.25,44.38,23.27,3.75,0.05,1.09,23.85,44.23,0.53,31.12,324.52,12.02,101.68,0.0,2.01,1.79,0.0,7.06,18.37,17.98,1.22
2024-07-03 11:31:45.578,716.47,42.31,2.81,0.0,25.16,44.28,23.22,2.89,0.07,0.73,23.21,43.93,0.69,28.48,313.87,11.96,104.38,0.0,2.43,1.76,0.0,7.09,18.08,17.93,1.17
2024-07-03 11:32:45.610,704.09,42.32,2.83,0.0,25.09,44.08,22.95,3.27,0.04,0.41,23.21,43.31,0.52,27.94,306.18,12.02,101.88,0.0,2.11,1.76,0.0,7.05,18.07,17.85,1.21
2024-07-03 11:33:45.635,715.9,42.79,2.81,0.0,25.35,43.97,23.29,6.17,0.06,1.0,24.79,46.17,0.6,27.84,307.22,12.13,102.65,0.0,2.17,1.76,0.0,6.97,19.03,17.88,1.25
2024-07-03 11:34:45.677,711.09,42.48,2.85,0.0,25.0,43.76,22.97,3.74,0.02,1.13,23.4,44.25,0.51,33.58,305.58,12.15,101.62,0.0,1.96,1.76,0.0,7.02,18.24,17.78,1.29
2024-07-03 11:35:45.707,701.57,42.39,2.81,0.0,25.06,43.5,22.9,3.15,0.03,0.51,23.58,44.96,0.49,31.88,297.66,12.13,102.18,0.0,2.14,1.78,0.0,7.04,18.33,17.71,1.34
2024-07-03 11:36:45.730,695.93,42.5,2.8,0.0,25.04,43.43,22.94,3.68,0.01,1.22,24.47,44.79,0.55,30.13,290.99,12.18,102.51,0.0,2.41,1.74,0.0,7.13,18.63,17.69,1.09
2024-07-03 11:37:45.739,990.38,52.41,2.83,0.0,26.57,44.13,27.57,35.77,1.0,53.64,51.34,95.55,5.41,31.43,313.69,12.2,111.55,1.16,6.25,6.02,10.63,7.26,37.47,18.94,37.55
